sample,motion,workedmaterial,Sq.n,Sq.min,Sq.max,Sq.mean,Sq.median,Sq.sd,Ssk.n,Ssk.min,Ssk.max,Ssk.mean,Ssk.median,Ssk.sd,Sku.n,Sku.min,Sku.max,Sku.mean,Sku.median,Sku.sd,Sp.n,Sp.min,Sp.max,Sp.mean,Sp.median,Sp.sd,Sv.n,Sv.min,Sv.max,Sv.mean,Sv.median,Sv.sd,Sz.n,Sz.min,Sz.max,Sz.mean,Sz.median,Sz.sd,Sa.n,Sa.min,Sa.max,Sa.mean,Sa.median,Sa.sd,Smr.n,Smr.min,Smr.max,Smr.mean,Smr.median,Smr.sd,Smc.n,Smc.min,Smc.max,Smc.mean,Smc.median,Smc.sd,Sxp.n,Sxp.min,Sxp.max,Sxp.mean,Sxp.median,Sxp.sd,Sal.n,Sal.min,Sal.max,Sal.mean,Sal.median,Sal.sd,Str.n,Str.min,Str.max,Str.mean,Str.median,Str.sd,Std.n,Std.min,Std.max,Std.mean,Std.median,Std.sd,Sdq.n,Sdq.min,Sdq.max,Sdq.mean,Sdq.median,Sdq.sd,Sdr.n,Sdr.min,Sdr.max,Sdr.mean,Sdr.median,Sdr.sd,Vm.n,Vm.min,Vm.max,Vm.mean,Vm.median,Vm.sd,Vv.n,Vv.min,Vv.max,Vv.mean,Vv.median,Vv.sd,Vmp.n,Vmp.min,Vmp.max,Vmp.mean,Vmp.median,Vmp.sd,Vmc.n,Vmc.min,Vmc.max,Vmc.mean,Vmc.median,Vmc.sd,Vvc.n,Vvc.min,Vvc.max,Vvc.mean,Vvc.median,Vvc.sd,Vvv.n,Vvv.min,Vvv.max,Vvv.mean,Vvv.median,Vvv.sd,Maximum.depth.of.furrows.n,Maximum.depth.of.furrows.min,Maximum.depth.of.furrows.max,Maximum.depth.of.furrows.mean,Maximum.depth.of.furrows.median,Maximum.depth.of.furrows.sd,Mean.depth.of.furrows.n,Mean.depth.of.furrows.min,Mean.depth.of.furrows.max,Mean.depth.of.furrows.mean,Mean.depth.of.furrows.median,Mean.depth.of.furrows.sd,Mean.density.of.furrows.n,Mean.density.of.furrows.min,Mean.density.of.furrows.max,Mean.density.of.furrows.mean,Mean.density.of.furrows.median,Mean.density.of.furrows.sd,First.direction.n,First.direction.min,First.direction.max,First.direction.mean,First.direction.median,First.direction.sd,Second.direction.n,Second.direction.min,Second.direction.max,Second.direction.mean,Second.direction.median,Second.direction.sd,Third.direction.n,Third.direction.min,Third.direction.max,Third.direction.mean,Third.direction.median,Third.direction.sd,Isotropy.n,Isotropy.min,Isotropy.max,Isotropy.mean,Isotropy.median,Isotropy.sd,Lengthscale.anisotropy.Sfrax.epLsar.n,Lengthscale.anisotropy.Sfrax.epLsar.min,Lengthscale.anisotropy.Sfrax.epLsar.max,Lengthscale.anisotropy.Sfrax.epLsar.mean,Lengthscale.anisotropy.Sfrax.epLsar.median,Lengthscale.anisotropy.Sfrax.epLsar.sd,Lengthscale.anisotropy.NewEplsar.n,Lengthscale.anisotropy.NewEplsar.min,Lengthscale.anisotropy.NewEplsar.max,Lengthscale.anisotropy.NewEplsar.mean,Lengthscale.anisotropy.NewEplsar.median,Lengthscale.anisotropy.NewEplsar.sd,Fractal.complexity.Asfc.n,Fractal.complexity.Asfc.min,Fractal.complexity.Asfc.max,Fractal.complexity.Asfc.mean,Fractal.complexity.Asfc.median,Fractal.complexity.Asfc.sd,Scale.of.max.complexity.Smfc.n,Scale.of.max.complexity.Smfc.min,Scale.of.max.complexity.Smfc.max,Scale.of.max.complexity.Smfc.mean,Scale.of.max.complexity.Smfc.median,Scale.of.max.complexity.Smfc.sd,HAsfc9.n,HAsfc9.min,HAsfc9.max,HAsfc9.mean,HAsfc9.median,HAsfc9.sd,HAsfc81.n,HAsfc81.min,HAsfc81.max,HAsfc81.mean,HAsfc81.median,HAsfc81.sd
id2-5,impact,flint,1,0.836408408,0.836408408,0.836408408,0.836408408,NA,1,0.997158377,0.997158377,0.997158377,0.997158377,NA,1,8.633120512,8.633120512,8.633120512,8.633120512,NA,1,4.802994219,4.802994219,4.802994219,4.802994219,NA,1,3.492886635,3.492886635,3.492886635,3.492886635,NA,1,8.295880854,8.295880854,8.295880854,8.295880854,NA,1,0.572234626,0.572234626,0.572234626,0.572234626,NA,1,0.464344143,0.464344143,0.464344143,0.464344143,NA,1,0.774885511,0.774885511,0.774885511,0.774885511,NA,1,1.534626251,1.534626251,1.534626251,1.534626251,NA,1,13.52616606,13.52616606,13.52616606,13.52616606,NA,1,0.370850917,0.370850917,0.370850917,0.370850917,NA,1,149.2416219,149.2416219,149.2416219,149.2416219,NA,1,0.328254639,0.328254639,0.328254639,0.328254639,NA,1,4.361419229,4.361419229,4.361419229,4.361419229,NA,1,0.086562029,0.086562029,0.086562029,0.086562029,NA,1,0.861449344,0.861449344,0.861449344,0.861449344,NA,1,0.086562029,0.086562029,0.086562029,0.086562029,NA,1,0.528306252,0.528306252,0.528306252,0.528306252,NA,1,0.76911452,0.76911452,0.76911452,0.76911452,NA,1,0.092334824,0.092334824,0.092334824,0.092334824,NA,1,4.563271717,4.563271717,4.563271717,4.563271717,NA,1,0.961914393,0.961914393,0.961914393,0.961914393,NA,1,4523.097719,4523.097719,4523.097719,4523.097719,NA,1,149.7048751,149.7048751,149.7048751,149.7048751,NA,1,179.9899148,179.9899148,179.9899148,179.9899148,NA,1,141.2560986,141.2560986,141.2560986,141.2560986,NA,1,23.49941832,23.49941832,23.49941832,23.49941832,NA,0,Inf,-Inf,NA,NA,NA,0,Inf,-Inf,NA,NA,NA,1,8.658466877,8.658466877,8.658466877,8.658466877,NA,1,1714456.803,1714456.803,1714456.803,1714456.803,NA,1,0.448547885,0.448547885,0.448547885,0.448547885,NA,1,0.658919807,0.658919807,0.658919807,0.658919807,NA
id2-5,impact ,flint,2,2.320752267,4.619233674,3.4699929705,3.4699929705,1.625271789320897,2,0.107157448,0.141541304,0.12434937600000001,0.12434937600000001,0.024313057740941762,2,3.10674306,4.476583083,3.7916630715000004,3.7916630715000004,0.9686231694040366,2,7.455923479,15.01611815,11.2360208145,11.2360208145,5.3458649189545,2,7.44897311,15.5791928,11.514082955,11.514082955,5.74893347533539,2,14.90489659,30.59531095,22.75010377,22.75010377,11.094798393582781,2,1.819002473,3.244393513,2.531697993,2.531697993,1.0079036702265454,2,0.447905303,0.49722281,0.4725640565,0.4725640565,0.034872743630915054,2,2.944452212,5.691270023,4.3178611175,4.3178611175,1.9422935008420887,2,4.295209606,10.60971037,7.452459988,7.452459988,4.465026310032035,2,18.8830054,20.11861344,19.50080942,19.50080942,0.8737068239726206,2,0.415983559,0.591770371,0.503876965,0.503876965,0.12430004680836473,2,65.00200648,149.9986128,107.50030964,107.50030964,60.10167670671535,2,0.688470016,1.152676684,0.92057335,0.92057335,0.3282436828148123,2,16.47347138,20.01753013,18.245500755000002,18.245500755000002,2.50602797504852,2,0.133113516,0.337772648,0.235443082,0.235443082,0.14471586006895276,2,3.077557166,6.029030512,4.553293839,4.553293839,2.0870068174479495,2,0.133113516,0.337772648,0.235443082,0.235443082,0.14471586006895276,2,2.097147451,3.111163074,2.6041552625,2.6041552625,0.7170173232524014,2,2.824169953,5.33504837,4.0796091615000005,4.0796091615000005,1.7754591553956438,2,0.253387214,0.693982142,0.473684678,0.473684678,0.3115476613451986,2,7.652356874,20.62791318,14.140135027,14.140135027,9.175103853640469,2,2.489850524,4.629515493,3.5596830085000004,3.5596830085000004,1.5129716090472043,2,3829.729631,4508.75589,4169.2427605,4169.2427605,480.1440723426331,2,0.002662499,63.57494819,31.788805344500002,31.788805344500002,44.95239430763463,2,45.03911737,153.5228069,99.28096213500001,99.28096213500001,76.70955251479907,2,56.21986894,63.50921214,59.86454054,59.86454054,5.154344007116051,2,26.2428809,77.81506998,52.02897544,52.02897544,36.467044619102815,0,Inf,-Inf,NA,NA,NA,0,Inf,-Inf,NA,NA,NA,2,23.18343263,30.55475897,26.8690958,26.8690958,5.212314841353017,2,2711283.314,181044282.7,91877783.007,91877783.007,126100473.17517701,2,0.387598237,2.49631921,1.4419587235,1.4419587235,1.4910908996385943,2,0.481105449,3.446302061,1.963703755,1.963703755,2.096710631896576
id3-3,impact ,flint,3,1.97777141,5.348472621,3.605812926,3.491194747,1.6882712041248509,3,-0.490774484,0.200965982,-0.036692610666666674,0.17973067,0.39338974997623716,3,3.457306646,5.973946376,4.448456206333333,3.914115597,1.3407120487788033,3,7.858764222,22.99922314,14.245042607333334,11.87714046,7.843060276220043,3,6.907179506,25.58443244,14.534797642000001,11.11278098,9.797580967586189,3,14.76594373,48.58365558,28.77984025,22.98992144,17.636660073897254,3,1.507445438,3.886970717,2.6978428653333335,2.699112441,1.189763147528443,3,0.180242847,0.353888102,0.248832383,0.2123662,0.09238779964338294,3,2.377810759,5.799267787,4.204390556,4.436093122,1.7224565619866545,3,4.001685643,11.65428921,7.4652210593333335,6.739688325,3.8775486650533715,3,18.67538556,22.91987257,20.205094833333334,19.02002637,2.3573731019092214,3,0.463360823,0.803116585,0.5782375226666667,0.46823516,0.19476622986862177,3,50.98960465,147.499941,107.32985155,123.500009,50.246062030430565,3,0.604271334,1.12616962,0.8756870466666666,0.896620186,0.26157810014256927,3,13.49233978,31.23040392,23.107580016666667,24.59999635,8.962712186759573,3,0.133125378,0.31333532,0.219297471,0.211431715,0.09036209596395765,3,2.510937436,6.112601436,4.423696478666667,4.647550564,1.811236837319824,3,0.133125378,0.31333532,0.219297471,0.211431715,0.09036209596395765,3,1.63094254,3.931647154,2.9028313713333334,3.14590442,1.1694544926850738,3,2.280550751,5.330010794,3.9712308569999997,4.303131026,1.5515862625391028,3,0.230386686,0.782590643,0.4524656223333334,0.344419538,0.29152661934450996,3,9.325176211,25.68491814,16.296732623666667,13.88010352,8.44336195862683,3,2.430859062,5.112154768,3.8250062676666667,3.932004973,1.3438464227584812,3,2201.349378,4763.494043,3083.538979,2285.773516,1455.496005341029,3,90.00026016,134.9807727,104.99755575333333,90.0116344,25.966228185789575,3,45.00658269,146.2115126,108.74141636333333,135.0061538,55.47960691988347,3,0.014897967,123.7196794,58.30890868233334,51.19214868,62.15870367088333,3,33.07103582,73.8272012,58.8822124,69.74840018,22.4459747343069,2,4.93204e-4,0.00121782,8.555120000000001e-4,8.555120000000001e-4,5.123808873562714e-4,2,0.017200469,0.017686885,0.017443676999999998,0.017443676999999998,3.4394805207763567e-4,3,22.82649826,44.1065167,34.90612629666667,37.78536393,10.92827997507326,3,11.66802933,2511887.447,837304.7608953634,15.16765676,1450231.1469052536,3,0.233734617,0.544405703,0.344159664,0.254338672,0.17372388687800794,3,0.367371702,0.701153246,0.5185187793333333,0.48703139,0.16910387796862514
id3-8,impact,bone,3,1.303417043,2.975370515,1.9384539416666666,1.536574267,0.9055316437407657,3,-1.296165697,-0.519046449,-0.8468410156666666,-0.725310901,0.40256149589993234,3,3.749219086,6.843276361,5.271263312666667,5.221294491,1.5476337640408253,3,3.352778216,9.714153258,6.199342853,5.531097085,3.2329069598555655,3,6.95613375,11.10561683,8.832145565666668,8.434686117,2.1031007982981653,3,10.30891197,20.81977009,15.03148842,13.9657832,5.3358532885232055,3,0.922462624,2.321323276,1.4748537910000001,1.180775473,0.7443549716141811,3,0.142759527,2.172976213,0.9068608666666667,0.40484686,1.1042909468049378,3,1.335446163,3.214023803,2.1174725833333334,1.802947784,0.9779866432747164,3,3.320069663,7.132126501,4.625900096333333,3.425504125,2.171095852336007,3,17.5668163,19.67340839,18.961741036666666,19.64499842,1.208123771524374,3,0.697946441,0.749165603,0.723822756,0.724356224,0.02561374787249669,3,94.00670243,176.9901586,146.99979957666667,170.0025377,46.02616614880678,3,0.407624299,0.76231811,0.5622380570000001,0.516771762,0.1816653871165231,3,6.659131499,21.27317823,13.045120953,11.20305313,7.479137708476954,3,0.058352698,0.130334912,0.08255369966666666,0.058973489,0.041380907848894935,3,1.394422701,3.344379909,2.20003458,1.86130113,1.0181544779008074,3,0.058352698,0.130334912,0.08255369966666666,0.058973489,0.041380907848894935,3,0.939844581,2.621230175,1.623447602,1.30926805,0.8836266021905824,3,1.157362488,2.901526554,1.9029474353333333,1.649953264,0.8991838579111022,3,0.211347866,0.442853356,0.2970871453333333,0.237060214,0.12689019796267778,3,6.92651799,12.50299195,9.013319959666667,7.610449939,3.041430367081168,3,1.404072763,3.41659008,2.259679618,1.958376011,1.0395404684280587,3,2298.09038,4507.521374,3667.1075526666664,4195.710904,1195.8103765198646,3,0.00811389,45.00958119,15.012588442333334,0.020070247,25.978158444475874,3,90.01104135,179.9985737,135.00124071666667,134.9941071,44.99376659912948,3,26.49268323,90.00976872,53.837535323333334,45.01015402,32.665685861341125,3,68.14213008,81.21074733,76.82594231666667,81.12494954,7.520524352493883,1,5.9539e-4,5.9539e-4,5.9539e-4,5.9539e-4,NA,1,0.017771289,0.017771289,0.017771289,0.017771289,NA,3,10.81129363,34.09615719,21.230533416666667,18.78414943,11.833630622493601,3,18.46542156,3972359.357,1989942.7324738533,1997450.375,1986181.087728099,3,0.189813625,0.241832356,0.20978608033333335,0.19771226,0.028032480211244243,3,0.269237225,0.412347633,0.346536323,0.358024111,0.07224350610491798
id3-9,impact,bone,3,2.114109459,3.33946375,2.8692848946666665,3.154281475,0.6605229539685195,3,0.383870253,0.602409249,0.5067644736666667,0.534013919,0.11178874002511499,3,3.688880623,4.361333514,4.024602363,4.0235929519999996,0.33622758190917296,3,9.032099894,13.35830486,11.234213141333333,11.31223467,2.164157543055121,3,5.970599308,10.08723775,8.155033591666665,8.407263717,2.0698775429073817,3,15.0026992,23.44554261,19.389246733333334,19.71949839,4.231099245939927,3,1.597335995,2.548430005,2.198151849,2.448689547,0.5227062344700172,3,0.144427271,0.469010267,0.32574136266666665,0.36378655,0.16560225702720757,3,2.644771843,4.210868548,3.653893742333333,4.106040836,0.8754955557205154,3,3.958187744,6.420267269,5.082478617666666,4.86898084,1.2448473290558608,3,21.26444168,26.11244432,24.22277821,25.29144863,2.5946723780275183,3,0.300073299,0.85096186,0.624729319,0.723152798,0.2883312982907167,3,39.25552925,163.2606012,80.67088916333333,39.49653704,71.52489022650333,3,0.677213638,0.840556257,0.759200698,0.759832199,0.08167314057007691,3,16.76829269,22.26759681,19.286440336666665,18.82343151,2.7787352035126847,3,0.148471932,0.224687011,0.19486103033333332,0.211424148,0.040717775195532775,3,2.793244716,4.422308515,3.8487605006666668,4.330728271,0.9152496457432485,3,0.148471932,0.224687011,0.19486103033333332,0.211424148,0.040717775195532775,3,1.651413073,2.714238694,2.319584840666667,2.593102755,0.5818149295604671,3,2.56916178,4.143648957,3.561925012,3.972964299,0.8639834716170551,3,0.224082936,0.357763972,0.286835489,0.278659559,0.06721450156054122,3,7.200215819,12.03568705,9.306654335,8.684060136,2.4771280061653056,3,2.434427041,3.869932359,3.325069779666667,3.670849939,0.7777157697018938,3,4491.869884,4865.989576,4658.548195666666,4617.785127,190.3617787553118,3,44.99709595,135.0023265,89.99971232666667,89.99971453,45.002615275000046,3,89.98940627,153.5263662,126.17011045666666,134.9945589,32.674753052370455,3,0.004873273,90.01081623,44.99861371766667,44.98015165,45.002974318711885,3,68.97337386,87.76620548,79.67558533666666,82.28717667,9.664778168363426,0,Inf,-Inf,NA,NA,NA,0,Inf,-Inf,NA,NA,NA,3,28.14293842,34.74312309,31.917708883333333,32.86706514,3.400965656409934,3,1997450.375,4628049.349,3261438.631666667,3158816.171,1318298.6261001052,3,0.296305802,0.334423945,0.30992247533333334,0.299037679,0.021262814956061724,3,0.517515021,0.615011337,0.568263171,0.572263155,0.04887108360158545
id6-1,grinding,dryacorn,4,1.018641614,2.674353559,1.7665580112500001,1.686618436,0.7196043388332877,4,-0.944526903,-0.176832355,-0.51938044475,-0.4780812605,0.36086461487154625,4,2.803072467,4.887689402,3.527705481,3.2100300275,0.9269754642145771,4,3.375647005,6.322689104,4.49241047975,4.135652905,1.2788522486487681,4,3.427392721,12.00716155,6.5664147385,5.4155523415,3.9112144824556347,4,6.803039727,18.32985066,11.058825220000001,9.5512052465,5.172997151114435,4,0.805702758,2.085719403,1.3931047085000001,1.3404983365,0.553567813355447,4,0.241080024,1.717345301,1.0594151969999999,1.1396177315,0.6798911266566774,4,1.233780489,3.065735057,2.0714295035,1.993101234,0.7878523248579644,4,2.251056351,5.967677294,4.03588181,3.9623967975000003,1.7081671605104798,4,23.04827273,27.39120975,25.738776945,26.257812649999998,1.8742956955530232,4,0.51841208,0.794809182,0.6367894905,0.61696835,0.13177878506394727,4,67.24703593,109.4977625,90.31138985,92.250380485,17.914983413446798,4,0.303031207,0.467380387,0.365770541,0.346335285,0.07095397003004592,4,4.291510526,9.59228915,6.239875194,5.53785055,2.315444670855891,4,0.043608179,0.076682345,0.0596848195,0.059224377,0.01367398093183541,4,1.277384447,3.142395159,2.131110492,2.052331181,0.8001317886720928,4,0.043608179,0.076682345,0.0596848195,0.059224377,0.01367398093183541,4,0.912398929,2.406520425,1.60816990975,1.5568801424999998,0.6413174062352524,4,1.142763814,2.771084062,1.88485254975,1.8127811615,0.6913210373541507,4,0.134620632,0.371311097,0.246257942,0.23955001950000002,0.11294270316208849,4,3.613691135,8.068297901,5.3723696075,4.9037446970000005,1.9239786247122705,4,1.10011952,2.392287721,1.572185599,1.3981675775,0.5645279041196452,4,2582.84634,2852.252016,2767.1659295,2816.7826809999997,124.92969195776105,4,63.533346710000004,179.9782465,105.875536425,89.995276245,50.952392409849985,4,0.00302537,179.9746715,89.9946475875,90.00044674,73.47311728745342,4,44.99884771,134.995659,67.5004751975,45.003697040000006,44.99678926220106,4,66.88442797,89.57915466,83.59936501,88.966938705,11.152482285985181,4,5.14819e-4,0.001198241,7.9667125e-4,0.00073681250000000005,2.9301719669031374e-4,4,0.017423586,0.017579483,0.01749972825,0.017497922,6.62695732815341e-5,4,7.678781826,15.07091588,10.5351895225,9.695530192,3.1747685557433147,4,1.527952727,2.418085389,1.9881816987499998,2.0033443395,0.4217408817237485,4,0.097337486,0.194883358,0.148788951,0.15146748,0.03998102859840492,4,0.221649358,0.248751389,0.23419281375,0.233185254,0.011889300527269168
id6-3,grinding,moistacorn,3,1.94193093,5.073703234,3.5835451063333332,3.735001155,1.57136998890575,3,-0.915872234,-0.343943319,-0.6036564343333333,-0.55115375,0.28955667813041974,3,2.936489894,6.043795138,4.550499604333333,4.671213781,1.5571658242408573,3,5.376287102,12.51133059,9.326593920666667,10.09216407,3.6286064314107556,3,9.540375508,25.11285847,15.350111026,11.3970991,8.505603086540585,3,14.91666261,37.62418906,24.676704946666668,21.48926317,11.684510181393671,3,1.509940189,3.691086837,2.7261648336666666,2.977467475,1.11207685803466,3,0.395220186,0.849843969,0.5521897203333334,0.411505006,0.2579047065344029,3,2.264182651,5.796715613,4.15513348,4.404502176,1.7794200858180393,3,4.015768502,10.65062527,7.679033109666667,8.370705557,3.3710738888029312,3,21.83393593,27.68607031,24.636493803333334,24.38947517,2.9338767619490946,3,0.318279152,0.704904336,0.5278158353333333,0.560264018,0.19534436681034725,3,51.0067894,137.7499188,84.50311031999999,64.75262276,46.62246179331988,3,0.360564319,0.681493991,0.539800598,0.577343484,0.16372557774951851,3,5.875390571,14.5088039,11.118014590333333,12.9698493,4.604989171679276,3,0.090962914,0.245427716,0.16257659033333333,0.151339141,0.0778431369156217,3,2.355153229,6.042083886,4.317685229666667,4.555818574,1.8549649685759964,3,0.090962914,0.245427716,0.16257659033333333,0.151339141,0.0778431369156217,3,1.668131231,3.625964798,2.901683940333333,3.410955792,1.0736835815048038,3,2.108757138,5.193104747,3.7833485556666666,4.048183782,1.5591354386698657,3,0.246396091,0.848979139,0.534336674,0.507634792,0.3021776386680507,3,5.426385535,15.97061509,10.517961995,10.15688536,5.281380168042353,3,1.815396141,3.606662361,2.841283904,3.10179321,0.9236111149248495,3,2322.196402,2515.596061,2434.786979666667,2466.568476,100.54056224836988,3,44.98608459,134.9984323,81.16963990666666,63.52440283,47.52969049641828,3,0.018394437,153.5337011,66.18890852566666,45.01463004,78.91767797521769,3,90.01140975,134.996521,105.01154178333333,90.0266946,25.9677548581815,3,20.07455781,78.76294229,50.35135679333333,52.21657028,29.388618276999832,3,0.001500182,0.003874676,0.002792264333333333,0.003001935,0.0012010523637020717,3,0.016464165,0.018050407,0.017216816666666666,0.017135878,7.962124223235496e-4,3,8.799123162,17.35957415,13.657427497333334,14.81358518,4.395777032548331,3,2.2645994,150.5660531,54.58602107666667,10.92741073,83.23392328512975,3,0.148201376,1.107857181,0.655102791,0.709249816,0.48211382603573244,3,0.282843843,1.560907046,0.8608027363333334,0.73865732,0.6477275775849654
id6-6,grinding,dryacorn,3,1.143709378,1.172111569,1.1570981713333333,1.155473567,0.014270620793435449,3,-1.116231125,-0.825407637,-0.9463754056666667,-0.897487455,0.1514499887204069,3,4.7051548,6.062495042,5.159472541333333,4.710767782,0.7820454615458384,3,2.902323659,3.140052139,3.0285153596666667,3.043170281,0.11953987866081442,3,4.974741676,5.323076119,5.091250081666667,4.97593245,0.2007681204149128,3,7.877065335,8.463128257,8.119765440666667,8.01910273,0.30572401463552873,3,0.820907031,0.870064077,0.8477664636666666,0.852328283,0.024894004089017305,3,2.082320412,3.687007356,2.897698825,2.923768707,0.8026610593031378,3,1.182299983,1.239991819,1.2151699753333334,1.223218124,0.029676025811811474,3,3.079028172,3.256272953,3.184270839333333,3.217511393,0.09318062515343188,3,19.04679756,23.95365472,20.73014033666667,19.18996873,2.7925630217861594,3,0.345356454,0.571903833,0.48537095399999997,0.538852575,0.12237704675114996,3,23.24875386,51.25240821,34.169190736666664,28.00641014,14.984527445019975,3,0.310792566,0.328512238,0.321933637,0.326496107,0.009700968679599532,3,4.465112652,4.731909611,4.627438300333333,4.685292638,0.14249736005641783,3,0.053699724,0.058388801,0.05585411466666666,0.055473819,0.002367557681144502,3,1.236023175,1.295447073,1.2710252963333333,1.281605641,0.03109272717739154,3,0.053699724,0.058388801,0.05585411466666666,0.055473819,0.002367557681144502,3,0.812510033,0.863922193,0.8367286016666666,0.833753579,0.02583487214728928,3,1.037078594,1.087338374,1.066561051,1.075266185,0.02623634673274019,3,0.198944581,0.2081087,0.20446424566666668,0.206339456,0.004861335167134675,3,4.776858074,5.337211453,4.988582120666667,4.851676835,0.30423062020740643,3,0.873253311,1.091939018,1.0091591633333332,1.062285161,0.11862815151801638,3,2937.795405,2978.264935,2962.979196,2972.877248,21.975538438255775,3,26.45879472,89.99450712,53.81575527,44.99396397,32.67360844549382,3,45.01245718,90.00758234,66.17754885333333,63.51260704,22.61563083781559,3,26.4313986,179.9921427,98.81220989666666,90.01308839,77.15759156818747,3,51.85944872,87.98275924,64.14738368666667,52.5999431,20.64536095126537,3,0.001014567,0.002668201,0.0016552119999999999,0.001282868,8.874719106771774e-4,3,0.017344918,0.017930601,0.017580577666666666,0.017466214,3.0913658844001845e-4,3,7.689339884,8.311782125,8.071320847666666,8.212840534,0.3344838591923226,3,1.742089279,1.860161506,1.781446688,1.742089279,0.06816903204226865,3,0.150363298,0.22656916,0.17815385033333334,0.157529093,0.042081692124781835,3,0.282685418,0.31874125,0.305586421,0.315332595,0.019905945996906604
id6-7,grinding,moistacorn,3,1.701264747,2.434999282,2.109778405,2.193071186,0.3738915049689577,3,-0.336898888,0.170433879,-0.10508066266666667,-0.148776979,0.25647350772310995,3,2.569367304,3.1738076140000002,2.864936231666667,2.851633777,0.3024396444967874,3,5.345015845,7.690801676,6.723103120333334,7.13349184,1.2255578187716503,3,4.424324495,7.499361682,6.151316085666666,6.53026208,1.5721524974773209,3,11.87527792,14.63285352,12.874419203333334,12.11512617,1.527563494680414,3,1.367859181,1.955684736,1.704963974,1.791348005,0.3032843078476386,3,0.138322299,1.2563236,0.5862904643333333,0.364225494,0.5911568028419205,3,2.080500959,2.962291538,2.6402990763333336,2.878104732,0.48662336945894696,3,3.268096861,5.434653638,4.369263133333334,4.405038901,1.0837213646298858,3,23.27233581,24.29867639,23.652803313333333,23.38739774,0.562293371209354,3,0.668659122,0.734249383,0.697329451,0.689079848,0.03356430465174627,3,67.75836784,81.49806314,74.25175928666667,73.49884688,6.900722031301864,3,0.351334189,0.417028116,0.3947378536666667,0.415851256,0.037593281710130544,3,5.661742542,7.829816202,7.067652591666667,7.711399031,1.2189925994083015,3,0.076344655,0.091058493,0.08482697,0.087077762,0.007610769057264125,3,2.171546985,3.049378347,2.725126279,2.954453505,0.4817574155800149,3,0.076344655,0.091058493,0.08482697,0.087077762,0.007610769057264125,3,1.547631806,2.32770973,1.989842084,2.094184716,0.40036974226026745,3,1.988805543,2.737131766,2.479153095,2.711521976,0.42484645067395294,3,0.182741442,0.312246581,0.24597318433333334,0.24293153,0.06480612627417986,3,5.584581437,6.853114214,6.259976287333333,6.342233211,0.6382542617947496,3,1.742250867,2.483316708,2.1128629203333333,2.113021186,0.37053294584999474,3,2404.246816,2557.686764,2472.862743,2456.654649,77.9934685976673,3,45.0096479,134.9963778,90.00432115333334,90.00693776,44.99336500706367,3,26.45014631,134.991822,83.80918574,89.98558891,54.53379509521664,3,45.00334717,134.9820931,81.17074044666666,63.52678107,47.51342606724935,3,79.35828351,86.68463906,82.07760437,80.18989054,4.011417335460607,3,4.21566e-4,0.001545072,9.47572e-4,8.76078e-4,5.651548257212354e-4,3,0.017542417,0.017876989,0.017666578,0.017580328,1.832045378013323e-4,3,8.465935427,10.24542361,9.538762304666667,9.904927877,0.9445646976945563,3,1.860161506,2.756970523,2.3450724726666667,2.418085389,0.45284077522541,3,0.068559689,0.185634455,0.14111056633333333,0.169137555,0.06337001876897139,3,0.204131354,0.266088981,0.23801167866666667,0.243814701,0.031383804533846066
